ppm,Hz,Intensity,Width,Area
5.24,3142.2,355.1,1.48,6771
5.23,3138.4,363,1.48,6945.28
4.65,2792.1,930.7,1.01,13057.73
4.64,2784.1,919,1.06,13271.95
3.91,2347.2,466.9,1.26,8195.17
3.91,2344.9,495.8,1.21,8392.51
3.89,2334.9,602.2,1.24,10389.86
3.89,2332.7,593,1.22,9931.17
3.86,2313.9,177.5,1.26,3046.68
3.85,2311.5,326.3,1.39,6239.21
3.85,2309.2,129,1.68,2662.33
3.84,2306,145.8,1.73,3140.34
3.84,2303.7,90.9,1.53,1671.1
3.83,2300.9,530.7,1.67,12515.33
3.83,2299.9,230.6,1.24,4069.88
3.83,2298.9,113.6,1.12,1744.87
3.83,2295.9,139.4,1.74,3281.56
3.82,2293.6,123.3,1.75,2848.13
3.78,2267.4,222.9,2.21,7490.17
3.78,2266.1,53.9,1.43,1069.05
3.77,2261.9,325,1.27,5583.38
3.76,2259.3,11,1.49,258.79
3.76,2255,258.4,1.32,4700.46
3.75,2251,74.6,1.23,1269.67
3.75,2249.3,108.8,1.32,2102.97
3.75,2247.8,37.7,1.21,644.94
3.74,2243,596,1.23,10374.87
3.73,2239,170.2,1.3,3078.85
3.73,2237.2,638.6,1.24,11439.38
3.72,2230.7,510.1,1.31,9345.76
3.71,2229.2,310.8,1.38,5758.45
3.71,2224.9,526.3,1.23,9182.96
3.7,2219.9,243.2,1.32,4351.26
3.69,2217,8.2,0.48,62.81
3.54,2127.7,339.6,1,4812.93
3.54,2123.9,340.1,1.01,4954.57
3.53,2117.9,294.8,1.04,4374.08
3.52,2114.1,285.1,1.01,4065.3
3.5,2102.7,383.1,1.02,5575.59
3.49,2093.6,865.3,1.16,13447.14
3.48,2089.8,206.3,1.27,3732.1
3.48,2087.6,209,1.26,3693.53
3.47,2084.2,778.4,1.1,12007.59
3.47,2081.8,154.1,1.25,2759.35
3.47,2080,302.5,1.32,5764.43
3.46,2077.8,324.2,1.16,5240.89
3.46,2074.2,309.7,1.26,5407.43
3.45,2071.9,290.3,1.24,4998.1
3.43,2056.5,195.2,1.52,4380.88
3.42,2054.8,22.1,1.25,392.81
3.42,2050.7,685.9,1.16,11022.51
3.41,2047.3,212,1.72,5573.94
3.41,2046.5,163.2,1.43,3412.92
3.41,2044.7,24.3,1.34,415.49
3.4,2041.6,454.7,1.22,7476.54
3.4,2040.8,330.4,1.1,5308.37
3.39,2037.4,172.5,1.37,3367.65
3.39,2035.4,18,1.01,259.89
3.39,2031.8,269.1,1.16,4260.45
3.26,1955.6,451.6,1,6331.04
3.25,1952.2,8,1.47,163.53
3.24,1947.6,453.6,0.98,6476.35
3.24,1946.2,386.6,0.94,5116.78
3.23,1938.3,369.5,1.01,5201.29
2.93,1761.3,1150.6,1.25,19340.49
2.93,1757.4,76.5,1.35,1510.58
2.93,1756.1,227.8,1.6,3999.35
2.92,1753.5,1001.7,2.08,26600.7
2.92,1750.6,278.6,1.9,7161.4
2.91,1749.1,35.8,0.6,271.3
2.91,1745.5,1187.4,1.23,19657.32
1.8,1080.1,296.7,1.17,4981.76
1.79,1074.9,226.3,1.55,4481.49
1.79,1072,421.5,1.95,11552.95
1.78,1069.5,134.9,1.39,2688.26
1.78,1068,307.6,1.71,6813.95
1.77,1064.2,523.8,1.45,10892.05
1.77,1063.2,478.4,1.33,8863.59
1.77,1059.5,304.2,1.62,7423.68
1.76,1058,157.6,1.84,4132.79
1.76,1056.3,89.2,0.99,1173.6
1.76,1055.3,396.4,1.52,8341.3
1.75,1052.7,251.4,1.45,4883.59
1.74,1047.3,286.8,1.21,4997.39
0.66,394.3,1059.3,1.36,19184.28
0.65,389.2,254.3,2.27,7887.58
0.64,385.9,724.5,2.51,26264.1
0.64,382.7,268.5,2.45,9379.27
0.63,377.3,1002.9,1.39,18500.31
